time,open,high,low,close,MA,Volume,Volume MA,Basis,Upper,Lower,RSI
1531260000,6355,6380,6245,6330,7479.9,2719,2784.45,6430.5,6941.488258182123,5919.511741817877,41.384470284282415
1531346400,6355,6365,6110,6160,7423.4,3076,2680.95,6425,6945.067303336789,5904.932696663211,38.58800259170788
1531432800,6160,6340,6060,6165,7363.7,3558,2635.8,6401.5,6923.956696770172,5879.043303229828,38.719163030288954
1531692000,6370,6710,6320,6675,7303.7,3171,2670.1,6408.75,6942.04986874178,5875.45013125822,50.363953428388726
1531778400,6665,7470,6655,7305,7256.4,5582,2809.5,6439.25,7091.1340004172525,5787.3659995827475,60.37963514467252
1531864800,7385,7595,7240,7395,7215.6,6956,3079.15,6472.25,7237.622295030334,5706.877704969666,61.5725555788997
1531951200,7325,7510,7275,7450,7179.9,4580,3202.75,6507.5,7377.64079320533,5637.35920679467,62.3192070148677
1532037600,7435,7700,7270,7340,7141.1,6978,3494.9,6539,7478.992553161992,5599.007446838008,59.81593537575465
1532296800,7380,7820,7335,7735,7114,8545,3730.55,6617.5,7674.40349606764,5560.59650393236,65.21875294683308
1532383200,7740,8365,7680,8260,7106.7,11464,4065.65,6718.25,7978.509001158095,5457.990998841905,70.83206314262881
1532469600,8290,8490,8020,8135,7094.3,1073,3960.65,6817,8191.173933677976,5442.826066322024,68.01738203468035
1532556000,8250,8300,8110,8255,7088.3,918,3962.8,6923,8394.038408743972,5451.9615912560275,69.27945409271501
1532642400,7980,8260,7775,8200,7087.3,9284,4400.95,7029.75,8545.429633035952,5514.070366964048,67.95583500542973
1532901600,8140,8265,7845,8100,7085.7,8136,4682.15,7141.5,8626.454881469468,5656.545118530533,65.5053212801431
1532988000,8120,8200,7640,7730,7075.7,9415,4954.05,7196.75,8682.950777149576,5710.549222850425,57.27557822923718
1533074400,7695,7760,7440,7545,7059.1,9125,5410.3,7245,8710.489679254002,5779.510320745997,53.646426071166985
1533160800,7460,7700,7430,7525,7046,5552,5350.95,7296,8725.481024707919,5866.518975292081,53.25357547436617
1533247200,7525,7560,7270,7370,7041.4,5700,5534.05,7336.25,8725.911379617351,5946.5886203826485,50.18626402548254
1533506400,7080,7140,6870,6920,7027.8,5117,5701.65,7347.5,8719.748155400473,5975.251844599527,42.52771268667133
1533592800,6845,7155,6825,6990,7018.8,5037,5799.3,7379.25,8685.995097561112,6072.504902438888,43.960321458231256
1533679200,6765,6785,6105,6330,6995.5,8099,6068.3,7379.25,8685.995097561112,6072.504902438888,35.08113234192015
1533765600,6300,6545,6170,6460,6978.3,6827,6255.85,7394.25,8650.583056955838,6137.9169430441625,37.7482849607328
1533852000,6555,6605,6105,6390,6955.2,6444,6400.15,7405.5,8620.966577080588,6190.033422919412,36.86989334110196
1534111200,6405,6555,6135,6230,6931,7804,6631.8,7383.25,8665.83050429593,6100.669495704071,34.87242574355038
1534197600,6240,6280,5850,6075,6902.5,6904,6697.9,7321.75,8725.659808356648,5917.840191643352,33.00686848400534
1534284000,6105,6600,6075,6375,6877.5,6993,6699.75,7270.75,8733.197520425947,5808.302479574053,39.72763625361414
1534370400,6400,6475,6185,6405,6854.8,4378,6689.65,7218.5,8725.586925163907,5711.413074836093,40.3718421359094
1534456800,6265,6545,6245,6480,6830.3,4288,6555.15,7175.5,8714.993098393104,5636.006901606896,42.03971023558713
1534716000,6490,6515,6360,6430,6805.8,2381,6246.95,7110.25,8659.945050647062,5560.554949352938,41.21209509477093
1534802400,6395,6470,6205,6425,6799.3,3319,5839.7,7018.5,8500.866688778455,5536.133311221545,41.12490677202738
1534888800,6440,6870,6250,6405,6797.4,5379,6055,6932,8343.893763708871,5520.106236291129,40.75350559390427
1534975200,6350,6465,6225,6405,6800.1,3554,6186.8,6839.5,8129.732149653697,5549.267850346303,40.75350559390427
1535061600,6460,6640,6450,6615,6799.7,2656,5855.4,6760.25,7891.3842758488045,5629.1157241511955,46.623614731460506
1535320800,6655,6760,6650,6730,6803.7,2398,5568.5,6691.75,7641.430340956893,5742.069659043107,49.57029601939271
1535407200,6720,7125,6715,7090,6811.6,5220,5358.75,6659.75,7504.690678391093,5814.809321608907,57.48316964718796
1535493600,7060,7100,6890,6995,6816.8,853,4945.15,6632.25,7391.621285999148,5872.878714000852,55.02932110269221
1535580000,7040,7045,6785,6805,6818,752,4705.15,6596.25,7242.8014287355645,5949.6985712644355,50.39575188847301
1535666400,6950,7090,6865,7045,6824.7,0,4420.15,6580,7160.956108497019,5999.043891502981,55.49359367057273
1536012000,7305,7410,7220,7350,6848.4,5305,4429.55,6601.5,7258.098050560615,5944.901949439385,60.981551426011826
1536098400,7355,7395,6840,6900,6861.5,4585,4406.95,6597,7244.050229889458,5949.949770110542,50.99119892399117
1536184800,6925,6925,6215,6430,6866.9,5796,4291.8,6602,7242.229646298889,5961.770353701111,43.057107166987116
1536271200,6410,6505,6280,6390,6872,2475,4074.2,6598.5,7242.550463861335,5954.449536138665,42.451705029407236
1536530400,6340,6350,6175,6265,6876,1936,3848.8,6592.25,7246.615914454596,5937.884085545404,40.53369867453299
1536616800,6260,6385,6120,6230,6883.3,1857,3551.45,6592.25,7246.615914454596,5937.884085545404,39.988898720143595
1536703200,6270,6335,6175,6290,6876.6,1581,3285.3,6603,7229.493415767476,5976.506584232524,41.441931659130205
1536789600,6295,6525,6295,6435,6873.7,2350,3053.15,6606,7228.660421096443,5983.339578903557,44.913235005093696
1536876000,6450,6575,6330,6525,6874.1,2085,2938.5,6612,7229.085083274584,5994.914916725416,47.01283098274817
